series	booktitle	year	title	abstract	authors	pdf1page	pdfarticle	id	lang_title	lang_abstract	affiliations	long_content	short_content	n_citations	
Revue des Nouvelles Technologies de l'Information	EGC	2015	A Clustering Based Approach for Type Discovery in RDF Data Sources	RDF(S)/OWL data sources are not organized according to a predefined schema, as they are structureless by nature. This lack of schema limits their use to express queries or to understand their content. Our work is a contribution towards the inference of the structure of RDF(S)/OWL data sources. We present an approach relying on density-based clustering to discover the types describing the entities of possibly incomplete and noisy data sets.	Kenza Kellou-Menouer, Zoubida Kedad	http://editions-rnti.fr/render_pdf.php?p1&p=1002113		15	en	en	@prism.uvsq.fr, @prism.uvsq.fr	cluster base approach type discovery rdf data source rdf s owl data source organize accord predefined schema structureless nature lack schema limit use express query understand content work contribution towards inference structure rdf s owl data source present approach rely density base cluster discover type describe entity possibly incomplete noisy datum set	A Clustering Based Approach for Type Discovery in RDF Data Sources	2
Revue des Nouvelles Technologies de l'Information	EGC	2015	A Framework for Mesh Segmentation and Annotation using Ontologies	La segmentation et annotation de maillages utilisant la sémantique a été l'objet d'un intérêt grandissant avec la démocratisation des techniques de reconstruction 3D. Une approche classique consiste à réaliser cette tâche en deux étapes, tout d'abord en segmentant le maillage, puis en l'annotant. Cependant, cette approche ne permet pas à chaque étape de profiter de l'autre. En traitement d'images, quelques méthodes combinent la segmentation et l'annotation, mais ces approches ne sont pas génériques, et nécessitent des ajustements d'implémentation ou des réécritures pour chaque modification des connaissances expertes. Dans ce travail, nous décrivons un cadre de fonctionnement qui mélange segmentation et annotation afin de réduire le nombre d'étapes de segmentation, et nous présentons des résultats préliminaires qui montrent la faisabilité de l'approche.Notre système fournit une ontologie générique qui décrit sous forme de concepts les propriétés d'un objet (géométrie, topologie, etc.), ainsi que des algorithmes permettant de détecter ces concepts. Cette ontologie peut être étendue par un expert pour décrire formellement un domaine spécifique. La description formelle du domaine est alors utilisée pour réaliser automatiquement l'assemblage de la segmentation et de l'annotation d'objets et de leurs propriétés, en sélectionnant à chaque étape l'algorithme le plus pertinent, étant données les information sémantiques déjà détectées. Cette approche originale comporte plusieurs avantages. Tout d'abord, elle permet de segmenter et d'annoter des objets sans aucune connaissance en traitement d'images ou de maillages, en décrivant uniquement les propriétés de l'objet en terme de concepts ontologiques. De plus, ce cadre de fontionnement peut facilement être réutilisé et appliqué à différents contextes, dès lors qu'une ontologie de domaine a été définie. Finalement, la réalisation conjointe de la segmentation et de l'annotation permet d'utiliser d'une manière efficace la connaissance experte, en réduisant les erreurs de segmentation et le temps de calcul, en lançant toujours l'algorithme le plus pertinent.	Thomas Dietenbeck, Ahlem Othmani, Marco Attene, Jean-Marie Favreau	http://editions-rnti.fr/render_pdf.php?p1&p=1002088		16	en	fr		le segmentation et annotation de maillage utiliser le sémantique avoir être le objet d' un intérêt grandissant avec le démocratisation des technique de reconstruction 3D. un approche classique consister à réaliser ce tâche en deux étape , tout d' abord en segmenter le maillage , puis en l' annoter . cependant , ce approche ne permettre pas à chaque étape de profiter de le autre . En traitement d' image , quelque méthode combiner le segmentation et le annotation , mais ce approche ne être pas générique , et nécessiter un ajustement d' implémentation ou un réécriture pour chaque modification des connaissance expert . Dans ce travail , nous décrire un cadre de fonctionnement qui mélange segmentation et annotation afin de réduire le nombre d' étape de segmentation , et nous présenter un résultat préliminaire qui montrer le faisabilité de le approche . son système fournir un ontologie générique qui décrire sous forme de concept le propriété d' un objet ( géométrie , topologie , etc. ) , ainsi que un algorithme permettre de détecter ce concept . ce ontologie pouvoir être étendre par un expert pour décrire formellement un domaine spécifique . le description formel du domaine être alors utiliser pour réaliser automatiquement le assemblage de le segmentation et de le annotation d' objet et de son propriété , en sélectionner à chaque étape le algorithme le plus pertinent , être donner le information sémantique déjà détecter . ce approche original comporter plusieurs avantage . tout d' abord , elle permettre de segmenter et d' annoter un objet sans aucun connaissance en traitement d' image ou de maillage , en décrire uniquement le propriété de le objet en terme de concept ontologique . De plus , ce cadre de fontionnement pouvoir facilement être réutiliser et appliquer à différents contexte , dès lors qu' un ontologie de domaine avoir être définir . finalement , le réalisation conjoindre de le segmentation et de le annotation permettre d' utiliser d' un manière efficace le connaissance expert , en réduire le erreur de segmentation et le temps de calcul , en lancer toujours le algorithme le plus pertinent . 	A Framework for Mesh Segmentation and Annotation using Ontologies	0
Revue des Nouvelles Technologies de l'Information	EGC	2015	Analyse des paramètres de recherche d'information: Etude de l'influence des paramètres sur les résultats	Cet article présente une analyse détaillée d'un ensemble de 2 millions de résultats de recherche d'information obtenus par différents paramétrages de systèmes de recherche d'information. Plus spécifiquement, nous avons utilisé la plateforme Terrier et l'interface RunGeneration pour créer différentes exécutions (run en anglais) en modifiant les modèles d'indexation et de recherche. Nous avons ensuite évalué chacun des résultats obtenus selon différentes mesures de performance de recherche d'information. Une analyse systématique a été menée sur ces données afin de déterminer d'une part quels étaient les paramètres qui ont le plus d'influence, d'autre part quels étaient les valeurs de ces paramètres les plus susceptibles de conduire à de bonnes performances du système.	Josiane Mothe, Marion Moulinou	http://editions-rnti.fr/render_pdf.php?p1&p=1002059		17	fr	fr	@irit.fr	analyse des paramètre de recherche d' information : Etude de le influence des paramètre sur le résultats  ce article présenter un analyse détailler d' un ensemble de 2 million de résultat de recherche d' information obtenir par différent paramétrages de système de recherche d' information . plus spécifiquement , nous avoir utiliser le plateforme Terrier et le interface RunGeneration pour créer différent exécution ( run en anglais ) en modifier le modèle d' indexation et de recherche . Nous avoir ensuite évaluer chacun des résultat obtenir selon différentes mesure de performance de recherche d' information . un analyse systématique avoir être mener sur ce donnée afin de déterminer d' un part quel étayer le paramètre qui avoir le plus d' influence , d' autre part quel étayer le valeur de ce paramètre le plus susceptible de conduire à un bon performance du système . 	Analyse des paramètres de recherche d'information: Etude de l'influence des paramètres sur les résultats	0
Revue des Nouvelles Technologies de l'Information	EGC	2015	Analyse et visualisation d'opinions dans un cadre de veille sur leWeb	L'analyse d'opinions est une tâche qui consiste en l'identification et la classification de textes subjectifs. Dans ce travail, nous nous intéressons au problème d'analyse d'opinions dans un contexte de veille sur le Web. Nous proposons une approche pour visualiser les résultats d'analyse d'opinions, basée sur l'utilisation de termes clés. Nous décrivons également la plateforme de veille sur leWeb AMIEI, au sein de laquelle notre approche a été implémentée. La démonstration consistera en une expérimentation de la plateforme de veille AMIEI et du module d'analyse d'opinions sur un corpus de tweets politiques.	Mohamed Dermouche, Leila Khouas, Sabine Loudcher, Julien Velcin, Eric Fourboul	http://editions-rnti.fr/render_pdf.php?p1&p=1002110		18	fr	fr	@univ-lyon2.fr, @amisw.com	analyse et visualisation d' opinion dans un cadre de veille sur leWeb  le analyse d' opinion être un tâche qui consister en le identification et le classification de texte subjectif . Dans ce travail , nous clr intéresser au problème d' analyse d' opinion dans un contexte de veille sur le Web . Nous proposer un approche pour visualiser le résultat d' analyse d' opinion , baser sur le utilisation de terme clé . Nous décrire également le plateforme de veille sur leWeb AMIEI , au sein de laquelle son approche avoir être implémenter . le démonstration consister en un expérimentation de le plateforme de veille AMIEI et du module d' analyse d' opinion sur un corpus de tweets politique . 	Analyse et visualisation d'opinions dans un cadre de veille sur leWeb	0
Revue des Nouvelles Technologies de l'Information	EGC	2015	Analyse OLAP sur des tweets et des blogs : un retour d'expérience	Le projet ANR IMAGIWEB dans lequel s'inscrit ce travail s'est donné pour mission d'étudier les images véhiculées sur Internet en se basant sur la détection d'opinions. Deux cas d'étude ont été définis : (1) le premier vise à répondre aux besoins d'analyse de chercheurs en science politique grâce à des données issues de Twitter durant la campagne présidentielle de 2012 ; (2) le second doit permettre à l'entreprise française EDF d'évaluer l'opinion du public en matière de sécurité, d'emploi et de prix à partir de billets de blogs. Dans cet article, nous présentons un retour d'expérience sur l'usage de l'analyse en ligne OLAP (OnLine Analytical Processing) pour des données textuelles, mettant en avant l'intérêt de ce type d'analyse pour les membres du projet.	Brice Olivier, Cécile Favre, Sabine Loudcher	http://editions-rnti.fr/render_pdf.php?p1&p=1002106		19	fr	fr	@univ-lyon2.fr	analyse OLAP sur un tweets et des blog : un retour d' expérience  le projet ANR IMAGIWEB dans lequel clr inscrire ce travail clr être donner pour mission d' étudier le image véhiculer sur Internet en clr baser sur le détection d' opinion . Deux cas d' étude avoir être définir : ( 1 ) le premier viser à répondre aux besoin d' analyse de chercheur en science politique grâce à un donnée issu de Twitter durant le campagne présidentiel de 2012 ; ( 2 ) le second devoir permettre à le entreprise français EDF d' évaluer le opinion du public en matière de sécurité , d' emploi et de prix à partir de billet de blog . Dans ce article , nous présenter un retour d' expérience sur le usage de le analyse en ligne OLAP ( OnLine Analytical Processing ) pour un donnée textuel , mettre en avant le intérêt de ce type d' analyse pour le membre du projet . 	Analyse OLAP sur des tweets et des blogs : un retour d'expérience	0
Revue des Nouvelles Technologies de l'Information	EGC	2015	Analyse visuelle pour la détection des intrusions	"La démocratisation d'Internet, couplée à l'effet de la mondialisation, a pour résultat d'interconnecter les personnes, les états et les entreprises. Le côté déplaisant de cette interconnexion mondiale des systèmes d'information réside dans un phénomène appelé ""Cybercriminalité"". Nous proposons une méthode de visualisation de grands ""graphes"" et l'exploitation d'analyses statiques des flux permettant de détecter les comportements anormaux et dangereux afin d'appréhender les risques d'une façon compréhensible par tous les acteurs."	David Pierrot, Nouria Harbi	http://editions-rnti.fr/render_pdf.php?p1&p=1002079		20	fr	fr	@univ-lyon2.fr	analyse visuel pour le détection des intrusions  " le démocratisation d' Internet , coupler à le effet de le mondialisation , avoir pour résultat d' interconnecter le personne , le état et le entreprise . . le côté déplaisant de ce interconnexion mondial des système d' information résider dans un phénomène appeler " " Cybercriminalité " " . . Nous proposer un méthode de visualisation de grand " " graphe " " et le exploitation d' analyse statique des flux permettre de détecter le comportement anormal et dangereux afin d' appréhender le risque d' un façon compréhensible par tout le acteur . " 	Analyse visuelle pour la détection des intrusions	0
Revue des Nouvelles Technologies de l'Information	EGC	2015	Approche d'extraction de classes interlangues à partir de documents multilingues à base de Concepts Fermés	In this article, we highlight the interest and usefulness of Formal Concept Analysis (FCA) in multilingual document clustering. We propose a statistical approach for clustering multilingual documents based on Closed Concepts and vector model partition the documents of one or more collections.An experimental evaluation was conducted on the collection of bilingual documents French-English of CLEF' 2 2003 and showed the merits of this method and the interesting degree of comparability of the obtained bilingual classes.	Mohamed Chebel, Chiraz Latiri	http://editions-rnti.fr/render_pdf.php?p1&p=1002119		21	fr	en	@gmail.com, @gnet.tn	approche d' extraction de classe interlangues à partir de document multilingue à base de concept Fermés 	Approche d'extraction de classes interlangues à partir de documents multilingues à base de Concepts Fermés	0
Revue des Nouvelles Technologies de l'Information	EGC	2015	Approche relationnelle de l'apprentissage de séquences	We observe an increasing amount of sequential data, for instance open data sources provide real-time information. In order to apply classical learning algorithms, sequential data are often modelled in an attribute-value setting using a sliding window. In this paper, we propose a relational approach. A first advantage is to let the relational algorithm choose the length of the window. A second advantage is to allow to consider conditions based on the existential quantifier and aggregates. A third advantage is to be able to consider several granularities at the same time.	Clément Charnay, Nicolas Lachiche, Agnès Braud	http://editions-rnti.fr/render_pdf.php?p1&p=1002118		22	fr	en	@unistra.fr	approche relationnel de le apprentissage de séquences 	Approche relationnelle de l'apprentissage de séquences	0
Revue des Nouvelles Technologies de l'Information	EGC	2015	Big Data and the Dawn of Algorithms in Everything	The mainstream adoption of the internet as a source for knowledge and interaction for the past decades has given rise to new data sources that are characterized by large sizes and rapid creation. In addition, sensory data from mobile devices and machinery are on the rise with similar characteristics. All these sources have the commonality that they will tell us something new or something more detailed than before. From a business standpoint these data sources holds the opportunity to create more customized services and improved products in practically anything, however, they also present a challenge since they are big and typically residing outside the traditional server structure of organizations. This talk will explore the challenges of integrating these new, so-called Big Data, in decision processes. Specifically, we will explore the paradigm shifts when external data become equally or more important than internal data. We will also explore the emerging shift in decision making becoming algorithmic as opposed to human discovery driven.	Morten Middelfart	http://editions-rnti.fr/render_pdf.php?p1&p=1002057		23	en	en	@targit.com	big datum dawn algorithms everything mainstream adoption internet source knowledge interaction past decade give rise new data source characterize large size rapid creation addition sensory datum mobile device machinery rise similar characteristic source commonality tell us something new something detail before business standpoint data source hold opportunity create customize service improve product practically anything however also present challenge since big typically reside outside traditional server structure organization talk explore challenge integrate new so call big datum decision process specifically explore paradigm shift external datum become equally important internal datum also explore emerge shift decision make become algorithmic opposed human discovery drive	Big Data and the Dawn of Algorithms in Everything	0
Revue des Nouvelles Technologies de l'Information	EGC	2015	Big Data is all about data that we don't have	Big Data is now becoming a buzz word in information technology industry and research. Is Big Data only about large volume of data?, and if it is yes, why is it suddenly becoming a trend. Hasn't the growth of data volume been gigantic in the last decade? From a research point of view, it is not surprising to see researchers from all walks of computer science are trying to align their research to Big Data for the sake of being trendy. The question remains whether it tackles the real Big Data problems. In this talk, I will describe the misconceptions of Big Data, present motivating cases, and discuss the unavoidable challenges faced by industry and research.	David Taniar	http://editions-rnti.fr/render_pdf.php?p1&p=1002055		24	en	en	@monash.edu	big datum datum don t big datum become buzz word information technology industry research big datum large volume datum yes suddenly become trend hasn t growth data volume gigantic last decade research point view surprising see researcher walk computer science try align research big datum sake trendy question remain whether tackle real big datum problem talk describe misconception big datum present motivate case discuss unavoidable challenge face industry research	Big Data is all about data that we don't have	0
