id,1page_location
1383,"[u'besan\xe7on', u'universit\xe9 de franche-comt\xe9']"
538,[u'universit\xe9 paris 8']
344,"[u'universit\xe9 toulouse 1', u'narbonne', u'toulouse']"
345,"[u'universit\xe9 de caen basse-normandie', u""universit\xe9 d'orl\xe9ans""]"
346,"[u'universit\xe9 de lyon', u'universit\xe9 lyon 1']"
347,"[u'marseille', u""universit\xe9 d'aix-marseille"", u'orsay', u'universit\xe9 paris-sud']"
340,"[u'villejuif', u'universit\xe9 paris 13']"
341,[u'agroparistech']
342,[]
343,[u'massachusetts']
810,"[u'gif-sur-yvette', u'supelec', u'orsay']"
811,[u'lannion']
812,[u'universit\xe9 de gen\xe8ve']
813,[u'rennes']
348,"[u'guyane', u'antilles']"
349,"[u'bidart', u'universit\xe9 bordeaux 1']"
816,[]
817,[u'ripoll']
1260,"[u'montpellier', u'universit\xe9 montpellier 2']"
1250,[u'caen']
719,[u'ensieta']
718,"[u'universit\xe9 paris 13', u'villetaneuse']"
717,"[u'universit\xe9 paris 13', u'villetaneuse']"
716,"[u'villeurbanne', u'universit\xe9 de lyon']"
715,[u'bidart']
714,"[u'sfax', u'siam', u'tunis']"
713,"[u'maguelonne', u'universit\xe9 montpellier 3', u'universit\xe9 montpellier 2']"
712,"[u'b\xe9thune', u'lille']"
711,"[u'universit\xe9 de lyon', u'universit\xe9 de saint-\xe9tienne', u'saint-\xe9tienne']"
710,"[u'guyane', u'antilles', u'universit\xe9 montpellier 2']"
661,"[u'northwestern university', u'cluj-napoca', u'insa lyon']"
660,[u'clamart']
1700,[u'montpellier']
1701,"[u'billancourt', u'brest', u'ensieta']"
1702,"[u'universit\xe9 de paris-sud 11', u'orsay']"
1703,[u'universit\xe9 de paris']
1704,"[u'enst bretagne', u'brest']"
1705,[u'orsay']
1706,[]
1708,"[u'washington dc', u'george washington university']"
1063,[u'villeurbanne']
1391,[]
298,"[u""universit\xe9 d'angers""]"
299,[u'tunis']
296,"[u'bron', u'montpellier']"
297,[u'saint-etienne']
294,[u'tunis']
295,"[u""universit\xe9 d'orl\xe9ans""]"
292,"[u'royal holloway, university of london']"
293,"[u'cergy pontoise', u'cergy', u'lannion']"
290,"[u'maguelonne', u'pau', u'montpellier']"
291,"[u'universit\xe9 de lyon', u'universit\xe9 de saint-\xe9tienne', u'saint-\xe9tienne']"
199,[]
198,"[u'suresnes', u'universit\xe9 de bourgogne', u'florence']"
195,[u'universit\xe9 de nantes']
194,[u'universit\xe9 lumi\xe8re lyon 2']
197,"[u'universit\xe9 paris 13', u'universit\xe9 de caen', u'caen', u'villetaneuse']"
196,"[u'champs-sur-marne', u'cnam']"
191,"[u'sfax', u'picardie', u'amiens']"
190,[u'universit\xe9 de bretagne sud']
193,[]
192,"[u'lens', u'colombelles', u""universit\xe9 d'artois""]"
270,"[u'nouvelle cal\xe9donie', u'noum\xe9a']"
271,"[u'gif-sur-yvette', u'compi\xe8gne']"
272,"[u'universit\xe9 de sousse', u'tunis']"
274,"[u'universit\xe9 de lille', u'lannion']"
275,"[u'cherche-midi', u'narbonne', u'toulouse']"
276,[u'vienne']
277,"[u""universit\xe9 d'evry"", u'florence']"
278,"[u""universit\xe9 d'orl\xe9ans""]"
279,"[u'universit\xe9 de lyon', u'universit\xe9 de saint-\xe9tienne', u'saint-\xe9tienne']"
524,"[u'illkirch', u'universit\xe9 de strasbourg']"
525,[]
526,[u'universit\xe9 de lille1']
1408,"[u'tunis', u'universit\xe9 lumi\xe8re lyon 2', u'bron']"
520,"[u'universit\xe9 paris descartes', u'universit\xe9 paris 13', u'villetaneuse']"
521,"[u'universit\xe9 paris descartes', u'avenue de versailles']"
522,"[u'institut telecom', u'telecom bretagne']"
523,[u'allonnes']
1403,"[u'universit\xe9 de caen', u'caen']"
1402,"[u'universit\xe9 de rouen', u'rouvray']"
1401,[u'illkirch']
1400,[]
528,"[u'cergy pontoise', u'cergy', u'lannion']"
529,"[u'cesson-s\xe9vign\xe9', u'royan']"
1012,[]
1404,[u'sophia antipolis']
1234,"[u'maguelonne', u'montpellier', u'universit\xe9 montpellier 2']"
1235,"[u'universit\xe9 de caen', u'caen']"
1236,[u'sfax']
1237,[]
1230,"[u'champs-sur-marne', u'universit\xe9 ren\xe9 descartes']"
1231,"[u'rocquencourt', u'chesnay']"
1232,[u'vand\u0153uvre-l\xe8s-nancy']
1238,[u'insa']
1239,"[u'g\xe9menos', u'jouques']"
39,"[u't\xe9l\xe9com sudparis', u'institut mines-t\xe9l\xe9com']"
38,"[u'universit\xe9 lille 3', u'lille']"
1448,"[u'villeurbanne', u'insa de lyon']"
32,[u'universit\xe9 paris descartes']
31,"[u'gennevilliers', u'universit\xe9 paris 13', u'villetaneuse']"
30,"[u""universit\xe9 d'angers""]"
37,[]
36,[]
35,"[u'universit\xe9 de rennes', u'lannion']"
34,"[u'universit\xe9 lumi\xe8re lyon 2', u'bron']"
641,"[u'universit\xe9 joseph fourier', u'grenoble', u'lille']"
1240,"[u'universit\xe9 lumi\xe8re lyon 2', u'bron']"
1243,[u'tunis']
642,[u'baghdad']
1245,[]
1244,"[u'lens', u'tunis', u""universit\xe9 d'artois""]"
647,[u'lannion']
1246,"[u'universit\xe9 lumi\xe8re lyon 2', u'universit\xe9 de gen\xe8ve']"
1248,"[u'insa', u'boos', u'saint-\xe9tienne-du-rouvray']"
1749,[u'illkirch']
339,[u'sophia antipolis']
338,"[u'universit\xe9 paris-nord', u'villetaneuse']"
335,"[u'universit\xe9 paris 13', u'villetaneuse']"
334,"[u'tolbiac', u'lannion']"
337,"[u'universit\xe9 de rennes', u'gafsa', u'lannion']"
336,"[u'universit\xe9 paris descartes', u'florence', u'universit\xe9 de nancy 2']"
331,"[u'universit\xe9 paris 13', u'bry-sur-marne', u'villetaneuse']"
330,"[u'universit\xe9 paris 13', u'villetaneuse']"
333,"[u'universit\xe9 de rennes', u'universit\xe9 de haute alsace']"
332,[u'universit\xe9 paris descartes']
854,[u'lannion']
818,"[u'massachusetts', u'istanbul']"
856,"[u'copenhague', u'roissy']"
850,[u'palaiseau']
851,[u'tunis']
852,[u'universit\xe9 de franche-comt\xe9']
819,"[u'universit\xe9 paris 13', u'villetaneuse']"
858,[u'ripoll']
859,"[u'iae', u'universit\xe9 de lyon']"
844,"[u""universit\xe9 d'orl\xe9ans""]"
1623,"[u'cergy-pontoise', u'saint-louis', u'orsay']"
1622,[]
1621,"[u'chiraz', u'tunis']"
1620,"[u'narbonne', u'toulouse']"
1627,[u'carquefou']
1626,"[u'toulouse', u'florence']"
1625,[]
1624,"[u'universit\xe9 de technologie de belfort-montb\xe9liard', u'belfort', u's\xe9venans']"
1216,[u'tunis-carthage']
814,"[u'suresnes', u'blain']"
1629,[u'carquefou']
1628,"[u'versailles', u'universit\xe9 de versailles']"
815,"[u'universit\xe9 de toulouse', u'narbonne', u'toulouse']"
1217,[u'aachen']
1053,[u'lausanne']
1638,[u'villeurbanne']
1696,[u'sophia antipolis']
1697,[u'ecole centrale de lyon']
1694,[u'massy']
1695,[]
